article_id,content,reacts
20250611201400524,"Sản xuất thuốc giả là giết người hàng loạt. Làm cho người nghèo suy kiệt. Tôi ngạc nhiên khi hình phạt tội này quá nhẹ. Cần sửa ngay luật để tử hình, chung thân nếu phạm tội này như tội phạm ma tuý",19
20250611201400524,"Cần phải khẩn cấp sửa chữa luật, tội làm giả phải xử lý kịch khung như tội phạm ma túy. Có như thế người dân mới còn niềm tin vào xã hội này. Ở mặt trận quản lý đây đã và luôn là một vấn đề nan giải và thách thức cực lớn.",8
20250611201400524,"Chúng ta có bộ máy chính quyền đồ sộ, nếu các cơ quan chức năng dựa vào chính quyền cơ sở, người dân, đảm bảo triệt phá được hàng giả, hàng kém chất lượng. Vì, chính quyền cơ sở nắm rất rõ biến động tại địa bàn, các cơ sở sản xuất,...,&nbsp;",7
20250611201400524,"Bệnh không hết còn gây nguy cơ gây nguy hiểm cho cộng đồng, phải tử hình",6
20250611201400524,"Gian thương hàng giả càng tinh vi thì đòi hỏi ngành quản lý phải đưa ra biện pháp càng tốt, trách nhiệm quản lý phải giỏi để chống lại sự giả này để bảo vệ sức khoẻ người dân",5
20250611201400524,"Đã nhận nhiệm vụ thì phải làm, vượt thẩm quyền thì kiến nghị lên trên để thay đổi, xử lý.",1
20250611201400524,"Từ lâu tôi chỉ uống thuốc bệnh viện bán và chuỗi cửa hàng Long Châu nhưng vẫn phó mặc cho bệnh viện, hên xui",0
20250611201400524,"Khám bệnh BHYT có vài chục ngàn nên được miễn phí, nhưng kê toa ra mua ngoài vài trăm rồi liệu thuốc mua ngoài thật hay giả? Tiền mua ngoài cao gấp nhiều lần nhưng lại không được cổng y tế ghi nhận để giảm trừ hay đạt 6 tháng lương chuẩn để được miễn phí 100%&nbsp;",0
20250608101613289,"Buôn bán công khai trên mạng và các kênh khác... Người tiêu dùng thì tin tưởng rằng công khai như vậy thì chắc là hàng thật vì hàng giả sao dám công khai như vậy được, sẽ bị bắt ngay. Ai ngờ đó cũng là những sản phẩm giả trong số vô vàng sản phẩm giả mà bây giờ người tiêu dùng chẳng biết đâu là nơi bán hàng thật 100%.",32
20250608101613289,"Từ nay giã từ mua TPCN, thuốc theo những lời có cánh trên livestream và TMĐT rồi nhé!",15
20250608101613289,"Đọc bài báo hôm trước xong tôi phải gởi link về cho đứa em ở quê để kiểm tra xem Má tôi có mấy loại thuốc này không, nếu có thì bỏ hết! Mấy cụ bà hay thích mua thuốc trên mạng lắm!",9
20250608101613289,Theo tôi nghĩ: Người mà đổ đống thuốc này cũng ôm bụng thôi. Vì trót lỡ ôm hàng các công ty dược phẩm mà bị chế tài xử lý rồi nên không trả hàng được. Bán ra thì bị phạt. Nên chấp nhận bỏ của. Tính ra người này cũng còn lương tâm. Người ta cũng là người bị hại thôi.&nbsp;,9
20250608101613289,Trong số này có một số thuốc và TPCN rất quen thuộc. Đáng sợ thật!,6
