article_id,comment_id,parent_id,is_reply,content,likes
4814829,57690723,57690723,No,"Không tham gia quảng cáo, nhưng họ giới thiệu và đề nghị bệnh nhân mua thực phẩm chức năng thì sao ? (chuyện này đã và đang diễn ra ở bệnh viện, trung tâm y tế.....đấy)",20
4814829,57690269,57690269,No,"Vẫn đề thẩm mỹ hiện nay cũng đang báo động bước xuống đường là spa thẩm mỹ , ko có giấy phép hành nghề , ko giấy phép hoạt động nhưng những dịch vụ cần điều kiện thì sau cánh cửa spa thẩm Mỹ họ làm rất nhiềuLàm đẹp là nhu cầu tất yếu nhưng cũng cần cơ quan quản lý giám sát chặt hơn , để bảo vệ người có bằng cấp và đc phép hoạt động",19
4814829,57690766,57690766,No,"Hay quá cô ơi, con mong quyết định này lâu lắm rồi, không 1 cơ quan bệnh viện hay bác sĩ có chuyên môn nào quảng cáo, mà toàn là người nổi tiếng quảng cáo, thực sự không biết những người đó có sử dụng và có tác dụng thật không hay chỉ vì tiền.",8
4814829,57692332,57692332,No,Em đi khám bệnh ở bệnh viện đa khoa tỉnh.bác sỹ kê đơn ra hiệu thuốc chỉ định mua hết 1tr5 thì có đến 1tr2 là thực phẩm chức năng,8
4814829,57710009,57692332,Yes,"Hãy là người tiêu dùng thông thái, đối với đơn thuốc của BS cho hãy tra cứu trước khi mua.",2
4814829,57712511,57692332,Yes,@vpctien: chữ bác sỹ trong đơn thuốc bác đọc được không?với lại mình là người bệnh không dám hỏi,3
4814829,57690937,57690937,No,"Cảm ơn bà, bác sĩ nên chuyên tâm chữa bệnh",5
4814829,57692152,57690937,Yes,muốn cho y tế được chuyên tâm thì lương phải ngang ngành giáo dục.,5
4814829,57690391,57690391,No,Cán bộ y tế đã nghỉ hưu thì được qc không?,3
4814829,57692124,57692124,No,"Trên tiktok, các trình dược sĩ live bán thuốc uống cương dương, xịt lâu ra ... ( hàng nhập lậu từ Trung Quốc ) mà quảng cáo nói hàng Mỹ, Đức.",2
4814829,57691802,57691802,No,Rất hoan nghênh ý kiến của bà! Tpcn không phải là thuốc chữa bệnh nên bs không nên liên quan đến tpcn,2
4814829,57711273,57711273,No,Nên nâng thật cao mức xử phạt mới đủ sức răn đe .,1
4814829,57695816,57695816,No,"Nhưng bên cạnh đó người bệnh/dùng cũng cần có một kênh thông tin có chuyên môn, đáng tin cậy giữa một rừng sản phẩm nếu không phải từ nhân viên y tế thì từ đâu bây giờ ?",1
4814829,57694907,57694907,No,Mong lắm luật này có hiệu lệnh để ko ảnh hưởng đến sức khoẻ của người dân khi tin lời quảng cáo nhứng sản phẩm như thế này.,1
4814829,57692594,57692594,No,Ủng hộ Bà BT !,0
4818471,57808035,57808035,No,Cảm ơn tác giả đã có bài viết rất hay về thực trạng TPCN ở Tp HCM cũng như cả nước. Đây là mặt hàng siêu lợi nhuận mà nếu buông lỏng quản lý thì hệ quả sẽ rất khó lường!,99
4818471,57813391,57808035,Yes,"Nhiều loại thực phẩm chức năng từ nhân Sâm, linh chi, đông trùng.... Không rõ nguồn gốc xuất xứ được bán với giá tiền triệu trên mạng sẽ ảnh hưởng sức khoẻ người dùng. Người bán thu được một khoảng lãi rất lớn mà không ai biết thực phẩm đó có thật có những chất bổ hay không?",13
4818471,57808961,57808961,No,"Trừ trường hợp bị bệnh và có biểu hiện rõ ràng của tình trạng thiếu một (vài) chất nào đó, một người đang sống bình thường khi nào thì cần uống TPCN? ""Không phải là thuốc và không thay thế thuốc"" nhưng uống nhiều bản thân nó có gây ra bệnh không? Thừa vitamin, thừa glucosamine, thừa collagen... có tốt không? Ít khi có thông tin chính thống nói về những điều này, tất cả chỉ là đồn thổi, bảo nhau, nghe quảng cáo rởm, ngay cả người tỏ ra hiểu biết, trích dẫn nguồn nọ nguồn kia thì cũng không gì bảo chứng đó không phải là thông tin từ nhóm lợi ích.Đấy là đang nói TPCN có nguồn gốc tạm yên tâm đó, nhưng 1 người cháu của tôi học dược, khi đi làm được cử đi thăm cơ sở sx của 1 hãng TPCN ở nước ngoài, nó khá bất ngờ về sự tềnh toàng của họ. Dù gì TPCN cũng là ""thực phẩm"", không chịu sự kiểm soát nghiêm ngặt như thuốc, nên ""tềnh toàng"" ngay cả ở nước ngoài cũng là hiểu được.Kinh doanh sức khỏe luôn là ngành béo bở, mà khi đã béo bở, ít có sự đàng hoàng (chứ đừng mơ ""có tâm"" hay ""tử tế"").",90
4818471,57811363,57808961,Yes,"Siêu lợi nhuận, mà TPCN đa số đi theo con đường Đa Cấp",6
4818471,57818200,57808961,Yes,"@alibaD: Về bản chất, TPCN có mục đích tốt là cải thiện sức khỏe. Sở dĩ có tên gọi TPCN ra đời mà không gọi là ""thuốc chữa bệnh"" là vì người Nhật thấy rằng trong tự nhiên có một số sản phẩm chứa hoạt chất cải thiện sức khỏe được kiểm nghiệm trong đời sống nhưng việc tìm, tách chiết hoặc công bố thành phần, chứng minh chúng theo quy trình sản xuất thuốc chữa bệnh của Tây y là rất không thực tế. Một là vì năng lực phân tích, công nghệ chiết xuất. Hai là chi phí giá thành. Ba là thời gian, thủ tục kiểm duyệt. Trong khi, đơn giản là chỉ cần đảm bảo về điều kiện vệ sinh an toàn thực phẩm và hạn sử dụng như các thực phẩm thông thường.Không kể những kẻ sản xuất giả mạo, ăn theo, phần lớn TPCN có giá thành cũng chẳng hề rẻ vì các chi phí:1. nghiên cứu.2. nuôi trồng nghiêm ngặt để có được hoạt chất tốt nhất, hàm lượng nhiều nhất. Đảm bảo năng suất cho hoạt động sản xuất thương mại.3. phân phối. (tiếp)",1
4818471,57818215,57808961,Yes,"@alibaD: (tiếp) Đối với khâu phân phối, khi hiểu về ""phân phối trực tiếp"", thứ mà chúng ta vẫn quen gọi là ""đa cấp"", nếu làm đúng nghĩa, thì sẽ là hình thức tốt nhất đảm bảo quyền lợi người tiêu dùng. Chống được hàng giả, hàng nhái cùng nhiều chi phí không cần thiết khác (quảng cáo) cấu thành trong sản phẩm. Tuy nhiên ở ta ""đa cấp"" đang bị biến tướng rất nhiều, không chỉ trong dược phẩm, mà còn cả trong một số mặt hàng mỹ phẩm, gia dụng, tài chính, đầu tư...Vì thế nếu quản lý đúng, chúng ta nên hiểu đúng và sàng lọc, khuyến khích những doanh nghiệp làm ăn chân chính. Doanh nghiệp làm ăn chân chính thì phải có vùng nguyên liệu, phải có phòng nghiên cứu và các nhà khoa học đạt chuẩn. Còn phân phối theo hình thức nào đó là tùy vào lựa chọn của doanh nghiệp sao cho họ có lợi nhất, khách hàng của họ có lợi nhất.",3
